"","time","Sus1","Exp1","Inf1","Rec1","SusV","ExpV","InfV","Sus2","Exp2","Inf2","Rec2","Total1","Total2","TotalV"
"1",0,284,0,0,0,5000,0,1,148.5,0,0,0,284,148.5,5001
"2",1,283.946025459148,0.0526459391273281,0.00132404645627059,4.55526801058775e-06,5000.00993179113,1.81252440945903e-05,0.990050083627792,148.488988322034,0.0107406266372676,0.000270122004126914,9.29324681044911e-07,284,148.5,5001
"3",2,283.892598227111,0.102188552486202,0.00517858249794835,3.46379046258928e-05,5000.01966156324,0.00013620014409682,0.980202236617113,148.478087046156,0.0208493519986018,0.00105653513614262,7.06670928232692e-06,284,148.5,5001
"4",3,283.839712572046,0.14878835446019,0.0113842534573009,0.000114820036141794,5000.02909117346,0.000446140925042771,0.970462685615316,148.467295041468,0.0303588249009474,0.0023227077753168,2.34258557662273e-05,284,148.5,5001
"5",4,283.787362722395,0.192593975167594,0.01977631916557,0.000266983272064952,5000.03813329674,0.00102484955349229,0.960841853703759,148.456611166973,0.039299278109829,0.00403508279670192,5.44721203636004e-05,284,148.5,5001
"6",5,283.735542427433,0.233748820716132,0.0301973169129187,0.000511434938270181,5000.04670695698,0.00193951378066852,0.951353529234209,148.446034183244,0.0476998830887597,0.0061615835134975,0.000104350153719399,284,148.5,5001
"7",6,283.684244782583,0.272389663243562,0.0424989185335244,0.000866635640397603,5000.0547386182,0.00324669141672465,0.942014690383734,148.435562716336,0.0555884634492556,0.00867199189551074,0.000176828319159245,284,148.5,5001
"8",7,283.633462088461,0.308647736195226,0.0565406998824127,0.00134947546155503,5000.06216107136,0.00499429324751739,0.932844635393262,148.425195229023,0.0629917177328575,0.0115376983008677,0.000275354942990873,284,148.5,5001
"9",8,283.583185713975,0.342649048346577,0.0721898920404299,0.00197534563762922,5000.06891314534,0.00722226784633227,0.923864586809794,148.414929992756,0.069935283400955,0.0147316509430097,0.000403072899484549,284,148.5,5001
"10",9,283.533405995193,0.374514560606616,0.0893212568437807,0.00275818735674984,5000.07493951006,0.00996309629391394,0.91509739364207,148.404765066896,0.0764437729026993,0.0182283306640356,0.000562829537488766,284,148.5,5001
"11",10,283.484112139144,0.404360556685293,0.107816714446955,0.00371058972347952,5000.08019028149,0.0132425850358234,0.90656713346923,148.394698278975,0.0825408491469863,0.0220036752530987,0.000757196624508111,284,148.5,5001
"12",11,283.4352921485,0.432298953085409,0.127565017765297,0.00484388064957442,5000.0846206552,0.0170805886131701,0.898298756182947,148.384727209205,0.0882492886275022,0.0260350133160692,0.000988488850902498,284,148.5,5001
"13",12,283.386932777504,0.458437528893363,0.148461492785136,0.00616820081732227,5000.08819060812,0.0214915741803354,0.890317817695418,148.374849181367,0.0935910282090636,0.0303010115347714,0.00125877888938215,284,148.5,5001
"14",13,283.339019497446,0.482880145565746,0.170407779047724,0.00769257794053721,5000.09086459912,0.0264851740172965,0.882650226856887,148.365061255647,0.0985872098709858,0.0347816219656319,0.00156991251620924,284,148.5,5001
"15",14,283.291536470111,0.505726961315983,0.193311566428398,0.00942500214454572,5000.09261126507,0.0320667331800859,0.875322001750984,148.355360223105,0.103258224344286,0.039458028588718,0.00192352396145369,284,148.5,5001
"16",15,283.244466539493,0.527074608436564,0.217086357224792,0.0113724948453234,5000.09340314306,0.0382377867875004,0.868359070145654,148.345742603868,0.107623747191453,0.0443125990031367,0.0023210499371563,284,148.5,5001
"17",16,283.197791233299,0.547016354236867,0.241651237526287,0.0135411749383772,5000.09321640359,0.0449965037558979,0.861787092653422,148.336204647329,0.111702771542252,0.0493288380096139,0.00276374311900551,284,148.5,5001
"18",17,283.151490773704,0.565642246243227,0.266930657808037,0.0159363222449624,5000.09203059463,0.0523380972610707,0.855631308110482,148.326742334244,0.115513637617178,0.0544913430682502,0.00325268507084996,284,148.5,5001
"19",18,283.105544096689,0.58303924239841,0.292854222737737,0.018562438174885,5000.08982839706,0.0602552025755702,0.849916400361722,148.317351380579,0.119074059188771,0.059785761628644,0.00378879860370327,284,148.5,5001
"20",19,283.059928878518,0.59929132859559,0.319356489140782,0.0214233037456818,5000.0865953907,0.0687382250014048,0.844666384295234,148.308027242828,0.122401147457123,0.0651987501172523,0.00437285959765732,284,148.5,5001
"21",20,283.014621568442,0.614479624953628,0.346376771554162,0.0245220350505594,5000.0823198306,0.0777756597592107,0.839904509637344,148.298765124602,0.125511432626663,0.0707179344657427,0.00500550830546146,284,148.5,5001
"22",21,282.969597426663,0.62868248230719,0.373858954755673,0.0278611362744966,5000.07699243326,0.0873543857779163,0.835653180964537,148.289559984302,0.128420883485114,0.0763318720551801,0.00568726015795369,284,148.5,5001
"23",22,282.924830566627,0.641975570351864,0.401751312629058,0.0314425503921483,5000.07060617214,0.0974599355938523,0.831933892261659,148.280406543677,0.131144925278785,0.082030014945741,0.00641851609848075,284,148.5,5001
"24",23,282.880294001198,0.654431957931242,0.430006333430992,0.0352677074397809,5000.06315608305,0.108076741052699,0.828767175898187,148.271299297187,0.133698455983948,0.0878026744048304,0.00719957242438903,284,148.5,5001
"25",24,282.835959691381,0.666122187680415,0.458580550173611,0.0393375707648599,5000.05463907753,0.119188359706698,0.826172562756683,148.262232521883,0.136095861426716,0.0936409864722109,0.00803063021757083,284,148.5,5001
"26",25,282.791798597365,0.677114345172238,0.487434376335747,0.043652681126765,5000.04505376509,0.130777681208321,0.824168553701772,148.253200287775,0.138351029281773,0.0995368786051011,0.00891180433833607,284,148.5,5001
"27",26,282.74778073136,0.68747412323393,0.516531946711522,0.0482131986944737,5000.03440028372,0.142827114769453,0.822772601504903,148.244196468557,0.140477362086656,0.105483037364248,0.00984313199189118,284,148.5,5001
"28",27,282.703875211496,0.697264882533284,0.545840962898415,0.0530189430723123,5000.02268013856,0.155318759665757,0.822001101773257,148.23521475257,0.142487789496564,0.111472877039674,0.0108245808940396,284,148.5,5001
