"","time","Sus1","Exp1","Inf1","Rec1","SusV","ExpV","InfV","Sus2","Exp2","Inf2","Rec2","Sus3","Exp3","Inf3","Rec3","Sus4","Exp4","Inf4","Rec4","Total1","Total2","Total3","Total4","TotalV"
"1",0,284,0,0,0,5000,0,1,74,0,0,0,38,0,0,0,23,0,0,0,284,74,38,23,5001
"2",1,283.92792019924,0.0697143022803292,0.00235759322899897,7.90525056696282e-06,5000.00989447973,5.49293648779201e-05,0.990050590906917,73.9931347030731,0.00663999796729943,0.000224982229789925,3.16729804046618e-07,37.9969487363428,0.00295113014782212,4.99964952088675e-05,7.03849146194552e-08,22.9984743582895,0.00147557483033469,4.99964952088675e-05,7.03849146194552e-08,284,74,37.9999499333708,23,5001
"3",2,283.856575602583,0.134199247433195,0.00916356539614067,6.15845880254439e-05,5000.01936747731,0.000422997007293445,0.98020952568149,73.9863383270758,0.0127829748553382,0.00087622716401958,2.47090483097355e-06,37.9939280566922,0.0056814043973398,0.000194720604288216,5.49097382787149e-07,22.9969639928001,0.00284073749820625,0.000194720604288216,5.49097382787149e-07,284,74,37.9998047307912,23,5001
"4",3,283.785957769058,0.193803683786679,0.0200354772930528,0.000203069862296725,5000.02812378938,0.00137792572585414,0.97049828489462,73.9796100639234,0.0184620567719023,0.00191971956426628,8.15974043433312e-06,37.9909375899538,0.0082055484620313,0.000426615734474949,1.81331203503672e-06,22.995468725145,0.00410284580846061,0.000426615734474949,1.81331203503672e-06,284,74,37.9995715674624,23,5001
"5",4,283.716056714753,0.248854475354891,0.0346186507986955,0.000470159093055226,5000.03589794612,0.00315154935451847,0.960950504521914,73.9729489359887,0.0237082836916018,0.00332385994415921,1.89203755297886e-05,37.9879768868835,0.0105373599899106,0.000738661880463297,4.20463996016488e-06,22.9939883392215,0.00526879425804344,0.000738661880463297,4.20463996016488e-06,284,74,37.9992571133938,23,5001
"6",5,283.646859987823,0.299659981545091,0.0525831998420267,0.00089683078972725,5000.04245130358,0.00593828116253508,0.951610415257187,73.9663537094038,0.0285509402191957,0.0050592045448967,3.61458320736501e-05,37.9850453816612,0.0126898556876854,0.0011243178658269,8.03267456622223e-06,22.9925225619437,0.00634508751594109,0.0011243178658269,8.03267456622223e-06,284,74,37.9988675878892,23,5001
"7",6,283.57835194258,0.34651188181994,0.0736226320504712,0.00151354354920459,5000.04756994189,0.00989938347693189,0.94253067463561,73.9598228272309,0.0330177291564405,0.00709834773262003,6.1095879973571e-05,37.9821423624933,0.0146753485991937,0.00157749522824959,1.35774048302011e-05,22.9910710483808,0.00733787898609884,0.00157749522824959,1.35774048302011e-05,284,74,37.9984087837256,23,5001
"8",7,283.510513187232,0.38968731983449,0.0974518964802535,0.00234759645368063,5000.05106213618,0.0151674495245057,0.933770414297021,73.9533543590783,0.0371349753632772,0.00941575517171657,9.49103866363462e-05,37.9792669495009,0.0165055388450757,0.00209252116978667,2.10921807620368e-05,22.9896333705519,0.00825301609757827,0.00209252116978667,2.10921807620368e-05,284,74,37.9978861016965,23,5001
"9",8,283.443320146769,0.429449593529929,0.12380700649399,0.00342325320736992,5000.05275748641,0.021848287900582,0.925394225683776,73.9469459602382,0.0409276915698311,0.011987734387593,0.000138613804323228,37.9764180766569,0.0181915429511863,0.00266413202488664,3.0804710086917e-05,22.9882090083322,0.00909605493278477,0.00266413202488664,3.0804710086917e-05,284,74,37.997304556343,23,5001
"10",9,283.376744688219,0.466049544285459,0.152443765701275,0.00476200179388501,5000.05250509534,0.0300241447626274,0.917470759890913,73.9405948374875,0.0444197105197246,0.014792327214714,0.000193124778071595,37.9735944767768,0.0197439526849859,0.00328744937780942,4.2919192549675e-05,22.9867973418426,0.00987228958704217,0.00328744937780942,4.2919192549675e-05,284,74,37.9966687980322,23,5001
"11",10,283.310753814082,0.499726714645873,0.183136676216626,0.00638279505572939,5000.05017188034,0.0397566543127641,0.910071465346155,73.9342977211917,0.0476337951368629,0.0178092186227361,0.000259265048620527,37.9707946692858,0.0211728841218729,0.00395795981930558,5.76182976285616e-05,22.9853976452363,0.0105867766468168,0.00395795981930558,5.76182976285616e-05,284,74,37.9959831315246,23,5001
"12",11,283.245309512137,0.530710133174985,0.215678114491464,0.00830224019617308,5000.04564124344,0.0510890571649383,0.903269699396482,73.9280508519463,0.0505917132038567,0.0210196683605838,0.000337766489251918,37.9680169543993,0.0224880109149665,0.00467149977100741,7.50647277629837e-05,22.9840090837188,0.011244351782466,0.00467149977100741,7.50647277629837e-05,284,74,37.9952515298131,23,5001
"13",12,283.180368635732,0.559219079244222,0.249877492249391,0.0105347927745918,5000.03881170971,0.0640484249300884,0.897139865359722,73.9218499701007,0.0533143101239687,0.0244064414515957,0.000429278323764274,37.965259408583,0.0236985967135847,0.00542424005524968,9.54028218510061e-05,22.982630711208,0.0118496459149095,0.00542424005524968,9.54028218510061e-05,284,74,37.9944776481737,23,5001
"14",13,283.115882823291,0.58546380687911,0.285560418091988,0.0130929517378891,5000.02959555818,0.0786478412125492,0.891756600608283,73.9156903089801,0.0558215777773798,0.0279537388419692,0.000534374400554747,37.9625198816481,0.0248135258443855,0.00621267049944946,0.000118760171252168,22.9812614688152,0.0124071005141438,0.00621267049944946,0.000118760171252168,284,74,37.9936648381632,23,5001
"15",14,283.051798499138,0.60964610009529,0.322567966467906,0.0159874342985024,5000.01791759398,0.0948882653489387,0.887194140672398,73.9095665956903,0.0581327073280743,0.0316471372417219,0.000653559739840637,37.9597959971961,0.0258413268480663,0.00703358658236256,0.000145249074366408,22.9799001850121,0.0129209793311985,0.00703358658236256,0.000145249074366408,284,74,37.9928161597009,23,5001
"16",15,282.98805691152,0.631959767683493,0.360755976989917,0.0192273438063375,5000.00371396951,0.112760265668116,0.883525764825016,73.903473055391,0.0602661362574884,0.0354735315134813,0.000787276837990966,37.9570851545942,0.0267901934448631,0.00788407664635552,0.000174967937297268,22.9785455765694,0.0133953788469249,0.00788407664635552,0.000174967937297268,284,74,37.9919343926227,23,5001
"17",16,282.9245942082,0.652591072724522,0.399994389626224,0.0228203294489805,4999.98693106276,0.132245609233777,0.880823328000993,73.8974034190656,0.0622395891761679,0.0394210800726934,0.000935911685564973,37.9543845324932,0.0276680027287523,0.00876150977861804,0.000208002610958029,22.9771962502725,0.0138342373379211,0.00876150977861804,0.000208002610958029,284,74,37.9910220476115,23,5001
"18",17,282.86134154549,0.671719102151487,0.440166614551839,0.026772737806892,4999.9675244127,0.153318712973108,0.879156874322734,73.8913509343975,0.064070112920385,0.0434791531830193,0.00109979949908911,37.9516910937152,0.0284823308156802,0.00966352433546327,0.00024442766462657,22.9758507053276,0.014241342672269,0.00966352433546327,0.00024442766462657,284,74,37.990081376531,23,5001
"19",18,282.798225223368,0.689516089254567,0.481168930536698,0.0310897568408783,4999.94545770753,0.175947969646747,0.878594322817937,73.8853083790575,0.0657741071633653,0.0476382835919396,0.00127923018717681,37.9490015912033,0.029240466492757,0.0105880169863746,0.000284307600525729,22.9745073363047,0.0146203391083997,0.0105880169863746,0.000284307600525729,284,74,37.9891143822829,23,5001
"20",19,282.735166842333,0.706147695474131,0.52290990961586,0.0357755525772812,4999.92070182416,0.200096956394352,0.879201219444822,73.8792680759887,0.0673673511473051,0.0518901193040574,0.00147445355989595,37.946312574849,0.0299494231381344,0.0115331322327941,0.000327698011406232,22.9731644365239,0.0149747332318605,0.0115331322327941,0.000327698011406232,284,74,37.9881228282313,23,5001
"21",20,282.672083477241,0.721773258804892,0.565309865128384,0.0408333988256604,4999.89323391638,0.2257255346416,0.881040548975417,73.8732219102407,0.0688650272357905,0.0562273782305819,0.00168568429289121,37.943620399,0.0306159492229165,0.0124972523435368,0.000374646683687514,22.9718202017872,0.0153078991855357,0.0124972523435368,0.000374646683687514,284,74,37.9871082472502,23,5001
"22",21,282.608887863777,0.736546015419456,0.608300320452329,0.0462658003513678,4999.86303654895,0.252790851131084,0.884172599923575,73.8671613469399,0.0702817419183491,0.0606438044809238,0.00191310666078367,37.9409212304642,0.0312465376763957,0.0134789876548289,0.00042519464938069,22.970472734362,0.0156230833337929,0.0134789876548289,0.00042519464938069,284,74,37.9860719504448,23,5001
"23",22,282.545488594885,0.750613297449457,0.651823498502234,0.0520746091629435,4999.8300968798,0.281248238252137,0.888654881951679,73.8610774501377,0.0716315445498646,0.0651341262849669,0.00215687902741063,37.9382110568947,0.0318474342403578,0.0144771672324125,0.000479377184033149,22.9691200471601,0.015923408423493,0.0144771672324125,0.000479377184033149,284,74,37.9850150355515,23,5001
"24",23,282.481790321716,0.764116715938791,0.695831827133235,0.0582611352119147,4999.7944058815,0.311052036287555,0.894542082215141,73.8549609020279,0.0729279446855275,0.0696940151483045,0.00241713813820007,37.9354856953322,0.0324246451961647,0.0154908298074044,0.000537224760749893,22.9677600679987,0.0162118774332005,0.0154908298074044,0.000537224760749893,284,74,37.9839383950965,23,5001
"25",24,282.417693957698,0.777192329734421,0.74028746154792,0.0648262510200288,4999.75595760518,0.3421563326984,0.901886062118339,73.8488020223954,0.0741839280871154,0.0743200463202244,0.0026940031971772,37.9327408008421,0.0329839444983236,0.0165192150036296,0.000598763956406479,22.9663906439124,0.0164913771275449,0.0165192150036296,0.000598763956406479,284,74,37.9828427243004,23,5001
"26",25,282.353096883194,0.789970803291699,0.785161823080759,0.0717704904330742,4999.71474848569,0.374515623952633,0.910735890361199,73.8425907880535,0.0754119716865476,0.0790096605247989,0.00298757973509363,37.9299718751383,0.0335308804421275,0.0175617548454314,0.00066401831149451,22.9650095454627,0.0167646813803668,0.0175617548454314,0.00066401831149451,284,74,37.9817285287373,23,5001
"27",26,282.2878931475,0.802577558078571,0.830435152506522,0.0790941419146836,4999.67077668494,0.408085408663779,0.92113790639691,73.8363168519623,0.076624057955391,0.0837611267993766,0.00329796328288036,37.9271742750581,0.0340707820654625,0.018618065511401,0.0007330091467528,22.9636144709754,0.0170344543664476,0.018618065511401,0.0007330091467528,284,73.9999999999999,37.9805961317817,23,5001
"28",27,282.221973666355,0.81513291943726,0.876096077610042,0.0867973365980476,4999.62404147214,0.442822717142609,0.933135810715002,73.8299695618561,0.0778316888594739,0.0885735064267115,0.00362524285762935,37.9243432208114,0.0346087653649122,0.0196879393310121,0.000805756338183821,22.9622030506691,0.0173032536617124,0.0196879393310121,0.000805756338183821,284,74,37.9794456818455,23,5001
"29",28,282.155226413246,0.827752260724954,0.922141194821278,0.0948801312075191,4999.57454263991,0.478686580849237,0.946770779239049,73.8235379782129,0.0790458995742305,0.0934466179481452,0.00396950426466798,37.921473803929,0.0351497394046614,0.0207713370214104,0.000882279051247354,22.9607728506363,0.0175735332910156,0.0207713370214104,0.000882279051247354,284,74,37.9782771594064,23,5001
"30",29,282.087536602819,0.840546146545524,0.968574664573936,0.103342586061424,4999.52227995494,0.515638446519926,0.962081598537363,73.8170108914053,0.0802772721352907,0.0983810032365403,0.0043308332228074,37.9185609948412,0.0356984123962683,0.0218683801596758,0.000962596435804016,22.9593213766422,0.0178476467623579,0.0218683801596758,0.000962596435804016,284,74,37.9770903838329,23,5001
"31",30,282.018786865,0.853620476407672,1.01540782025345,0.11218483833909,4999.46725264191,0.553642539083246,0.979104819007119,73.8103768379017,0.0815359491532514,0.103377894626171,0.00470931831887837,37.9155996500243,0.0362592978070733,0.022979343889997,0.00104672828316686,22.9578460777106,0.0181278501162556,0.022979343889997,0.00104672828316686,284,74,37.9758850200045,23,5001
"32",31,281.948857408646,0.86707662989902,1.06265879065978,0.121407170795438,4999.40945889932,0.592666177278394,0.997874923397264,73.8036241154016,0.0828316476979774,0.108439183102643,0.00510505379772782,37.9125845186676,0.0368367205445179,0.0241046498664979,0.00113469564663265,22.9563443494732,0.0184163050137291,0.0241046498664979,0.00113469564663265,284,74,37.9746605847253,23,5001
"33",32,281.877626173694,0.881011614227069,1.11035213597604,0.131010076102755,4999.3488954461,0.632680045647585,1.01842450825102,73.7967407968092,0.0841736734349035,0.113567387562099,0.00551814219375804,37.909510248815,0.0374348232534499,0.0252448594338425,0.00122652142684438,22.954813537258,0.0187150818812911,0.0252448594338425,0.00122652142684438,284,74,37.9734164529291,23,5001
"34",33,281.804968970971,0.895518214738277,1.15851849729364,0.140994316997466,4999.28555709759,0.673658426349812,1.04078447606149,73.7897147429623,0.0855709350728292,0.118765625154719,0.00594869681007305,37.9063713929454,0.0380575727532594,0.0264006670490178,0.00132223092333325,22.9532509389015,0.0190261631262052,0.0264006670490178,0.00132223092333325,284,74,37.972151863671,23,5001
"35",34,281.730759608965,0.910685148854531,1.20719425977098,0.151360982409054,4999.21943636983,0.71557939405824,1.06498423611494,73.7825336140523,0.0870319591661965,0.124037582730118,0.00639684405132125,37.9031624129638,0.0387087666343278,0.0275728939482786,0.00142185235359364,22.9516538072665,0.019351446431608,0.0275728939482786,0.00142185235359364,284,74,37.9708659259,23,5001
"36",35,281.654870007027,0.926597223697812,1.25642122952807,0.162111539747218,4999.15052311081,0.75842497701664,1.09105191217626,73.7751848796802,0.0885649052986882,0.129387489404735,0.00686272561633562,37.8998776845768,0.0393920400260751,0.0287624820637918,0.00152541734104806,22.9500193524577,0.0196927481375029,0.0287624820637918,0.00152541734104806,284,73.9999999999999,37.9695576240077,23,5001
"37",36,281.577170294552,0.94333549753385,1.30624632439169,0.173247883522735,4999.0788041575,0.802181287159553,1.11901455533825,73.7676558275092,0.0901775816615688,0.134820090272545,0.00734650055669877,37.8965115010368,0.0401108725428991,0.0299704881947971,0.0016329613732648,22.9483447437213,0.0200518067106422,0.0299704881947971,0.0016329613732648,284,74,37.9682258231478,23,5001
"38",37,281.497528895869,0.960977445045245,1.35672127860848,0.184772380476907,4999.00426301745,0.846838622040668,1.14889836051302,73.7599335704831,0.0918774610286731,0.140340621280786,0.00784834720739145,37.8930580762394,0.0408685954091676,0.0311980784381821,0.00174452423179851,22.9466271110263,0.0204302863037594,0.0311980784381821,0.00174452423179851,284,74,37.9668692743185,23,5001
"39",38,281.415812600625,0.979597126341529,1.40790236163982,0.196687911393898,4998.92687957365,0.892391541161987,1.18072888519196,73.752005052592,0.0936716971201063,0.145954785292154,0.0083684649957105,37.8895115471659,0.041668398760028,0.0324465228833159,0.00186015039503013,22.9448635463192,0.0208297804024213,0.0324465228833159,0.00186015039503013,284,73.9999999999999,37.9654866192043,23,5001
