"","time","Sus1","Exp1","Inf1","Rec1","SusV","ExpV","InfV","Sus2","Exp2","Inf2","Rec2","Total1","Total2","TotalV"
"1",0,284,0,0,0,5000,0,1,256.5,0,0,0,284,256.5,5001
"2",1,283.946025459251,0.0526459388033658,0.00132404672535429,4.55522047766458e-06,5000.00993236187,1.75623438191972e-05,0.990050075782915,256.488988150196,0.0107407955136612,0.000270124966870471,9.2932315300954e-07,284,256.5,5001
"3",2,283.89259823047,0.102188526003678,0.00517860970449668,3.46338218824901e-05,5000.01966591765,0.000131954767777394,0.980202127584401,256.478086366016,0.0208500052593663,0.00105656273359678,7.06599158031149e-06,284,256.5,5001
"4",3,283.839712590918,0.148788310830926,0.0113842828188052,0.000114815431829774,5000.02910557341,0.000432271217872052,0.970462155375487,256.467293528732,0.0303602590928053,0.00232278670029383,2.34254748364937e-05,284,256.5,5001
"5",4,283.787362795717,0.192593875189468,0.0197763514040633,0.000266977689704563,5000.03816676075,0.000993009451523754,0.960840229795678,256.456608512558,0.0393017561781678,0.00403525856355473,5.44727001392127e-05,284,256.5,5001
"6",5,283.735542642379,0.233748581576603,0.0301973477250036,0.000511428319490898,5000.04677104629,0.00187927274779349,0.951349680958402,256.446030097506,0.0477036364770517,0.00616191311476523,0.000104352902636994,284,256.5,5001
"7",6,283.684245303029,0.272389138121201,0.0424989292223057,0.000866629627640973,5000.05484720054,0.0031458727144801,0.942006926741436,256.435556934586,0.0555936894019567,0.00867254059520705,0.000176835417133298,284,256.5,5001
"8",7,283.633463186316,0.308646673428826,0.0565406704768082,0.00134946977801667,5000.06233013854,0.00483922099981818,0.932830640460762,256.425187517629,0.0629985722669821,0.0115385412036691,0.00027536890017735,284,256.5,5001
"9",8,283.58318780473,0.342647066842653,0.0721897890508578,0.00197533937648031,5000.06916062057,0.00699802235218353,0.923841357072479,256.414920156082,0.0699438775489212,0.0147328694647269,0.00040309690485934,284,256.5,5001
"10",9,283.533409676522,0.374511121407423,0.0893210225335554,0.00275817953716122,5000.07528506429,0.00965374939913382,0.915061186310055,256.404752954827,0.0764541681697452,0.0182300093525449,0.00056286765036723,284,256.5,5001
"11",10,283.48411823185,0.404354929422563,0.107816259999989,0.0037105787275362,5000.08065516632,0.0128314045641616,0.906513429114994,256.394683794908,0.0825530518861163,0.0220058994794205,0.000757253727018915,284,256.5,5001
"12",11,283.435301739523,0.432290182822019,0.1275642140175,0.00484386363713543,5000.08522754728,0.0165502200701875,0.898222232654197,256.384710318413,0.0882632444575413,0.0260378665435641,0.000988570585734763,284,256.5,5001
"13",12,283.386947263489,0.458424405104556,0.14846015792709,0.00616817347925629,5000.08896346144,0.0208242081364197,0.890212330421834,256.374829919467,0.093606616840257,0.0303045720343844,0.00125889165835745,284,256.5,5001
"14",13,283.339040629276,0.482861171155714,0.170405665621641,0.00769253394624666,5000.09182850783,0.0256626943753804,0.88250879779079,256.365039737232,0.0986042399094249,0.0347859594495248,0.00157006340888242,284,256.5,5001
"15",14,283.291566398023,0.505700322340844,0.193308347279303,0.00942493235684288,5000.09379233658,0.0310708472420633,0.875136816172729,256.355336650466,0.103276428210794,0.0394632006947222,0.0019237206287801,284,256.5,5001
"16",15,283.244507857979,0.527038145795683,0.217081609726354,0.0113723864987185,5000.09482837997,0.0370501409790641,0.868121479052046,256.345717275648,0.107642776413551,0.0443186474875464,0.00232130045119753,284,256.5,5001
"17",16,283.197847025731,0.546967536945373,0.241644426679833,0.0135410106437283,5000.09491359446,0.0435987849310913,0.861487620607983,256.3361779671,0.111722192340336,0.0493357847681736,0.00276405579139464,284,256.5,5001
"18",17,283.151564656366,0.565578146571234,0.266921118234656,0.0159360788282837,5000.09402821348,0.0507121207844817,0.855259665730267,256.326714818937,0.115532926842975,0.0544991859875655,0.00325306823220757,284,256.5,5001
"19",18,283.105640261968,0.582956513031497,0.292841139657111,0.0185620853438589,5000.09215551105,0.0583829881995164,0.849461500745402,256.317323668724,0.119092600647367,0.0597944702851451,0.0037892603432892,284,256.5,5001
"20",19,283.060052137075,0.599186181891958,0.319338878458123,0.0214228025752915,5000.08928157577,0.0666020614448081,0.844116362782063,256.308000102564,0.122418228627689,0.0652082613464961,0.00437340746208292,284,256.5,5001
"21",20,283.01477739019,0.614347814362522,0.346353459166199,0.0245213362817565,5000.08539509482,0.0753581588616138,0.839246746318111,256.298739461427,0.125526241794811,0.0707281478227127,0.00500614895577113,284,256.5,5001
"22",21,282.969791980415,0.628519285972284,0.373828555192496,0.027860178420483,5000.08048714754,0.0846385270380307,0.834874325419905,256.289536848537,0.128432507291465,0.0763426451874541,0.00568799898449571,284,256.5,5001
"23",22,282.925070758312,0.641775776892393,0.401712207149181,0.0314412576467324,5000.07455100811,0.0944291018247759,0.831019890063413,256.280387137623,0.131152346682152,0.0820411589015406,0.00641935679293066,284,256.5,5001
"24",23,282.880587510539,0.654189854398302,0.429956647671376,0.0352659873915272,5000.06758195765,0.104714745982902,0.827703296361627,256.271284981957,0.133700552638482,0.0878139488946718,0.00720051651018571,284,256.5,5001
"25",24,282.836315007009,0.66583154959674,0.458518131490363,0.0393353119036121,5000.05957710433,0.115479468019157,0.82494342765182,256.262224823899,0.136091404454374,0.0936520951100133,0.00803167653645557,284,256.5,5001
"26",25,282.792225050307,0.676768428622522,0.487356770920297,0.0436497501499771,5000.05053521176,0.126706621738708,0.822758166499747,256.253200904927,0.138338682433497,0.0995474641441616,0.00891294849493864,284,256.5,5001
"27",26,282.748288526873,0.687065658928066,0.516436376585422,0.0482094376136788,5000.04045653571,0.138379087470593,0.821164376816346,256.244207276019,0.140455681276684,0.105492676947212,0.00984436575684732,284,256.5,5001
"28",27,282.704475459253,0.696786071736772,0.545724302891699,0.0530141661188391,5000.02934266844,0.150479436863355,0.820177894696371,256.235237808263,0.142455222688664,0.111481077482065,0.0108258915658432,284,256.5,5001
"29",28,282.660755058962,0.705990221265269,0.575191298007186,0.0580634217656076,5000.01719639044,0.16299008251152,0.819813527041306,256.226286203598,0.144349667328227,0.117506702295188,0.0118574267786611,284,256.5,5001
"30",29,282.617095779586,0.714736441176001,0.604811358225208,0.0633564210124392,5000.00402152947,0.175893413215963,0.820085057308987,256.217346005601,0.146150926196643,0.123564250973267,0.0129388172294687,284,256.5,5001
"31",30,282.573465369735,0.723080898766334,0.634561586528753,0.0688921449703589,4999.98982282648,0.189171915916636,0.82100525760373,256.208410610252,0.147870471568294,0.129649057448977,0.0140698607310551,284,256.5,5001
"32",31,282.529830925504,0.731077647316742,0.664422055210988,0.0746693719688519,4999.97460580836,0.202808285236494,0.822585906400739,256.199473276598,0.149519347550334,0.135757062126567,0.0152503137249195,284,256.5,5001
"33",32,282.486158942158,0.738778676962445,0.694375672429433,0.0806867084504428,4999.95837666723,0.216785521509538,0.824837811254456,256.190527137259,0.151108180346313,0.141884784802598,0.0164798975918122,284,256.5,5001
"34",33,282.442415364758,0.746233964405177,0.724408052588184,0.0869426182492663,4999.941142146,0.231087018112223,0.827770835887307,256.181565208716,0.152647188288915,0.148029298360633,0.0177583046339243,284,256.5,5001
"35",34,282.398565637501,0.753491521732136,0.754507390459948,0.0934354503072815,4999.92290943003,0.245696638863032,0.83139393110341,256.172580401341,0.15414619169676,0.154188203222245,0.0190852037395911,284,256.5,5001
"36",35,282.354574751578,0.760597444569826,0.784664338971926,0.100163464880515,4999.90368604478,0.260598786208893,0.8357151690129,256.163565529117,0.155614622602185,0.160359602539227,0.0204602457411187,284,256.5,5001
"37",36,282.31040729136,0.767595959763079,0.814871890590879,0.107124858286486,4999.88347975903,0.275778460872379,0.840741780092572,256.15451331902,0.157061534389182,0.166542078114229,0.0218830684760987,284,256.5,5001
"38",37,282.266027478769,0.774529472736411,0.845125262252011,0.114317786242852,4999.86229849376,0.291221313592113,0.846480192645718,256.145416420025,0.158495611373892,0.172734667038924,0.0233533015623514,284,256.5,5001
"39",38,282.221399215705,0.781438614665257,0.87542178378388,0.12174038584631,4999.84015023619,0.306913689550073,0.85293607425885,256.136267411709,0.159925178353948,0.178936839040398,0.02487057089644,284,256.5,5001
"40",39,282.176486124414,0.788362289558256,0.905760789787725,0.129390796239871,4999.81704295907,0.322842666043263,0.860114374885652,256.127058812439,0.161358210147529,0.1851484745277,0.0264345028855128,284,256.5,5001
"41",40,282.131251585722,0.795337721328259,0.93614351493444,0.137267178015721,4999.79298454486,0.338996083923279,0.868019371219044,256.117783087108,0.162802341138152,0.191369843331493,0.0280447284220558,284,256.5,5001
"42",41,282.085658775045,0.80240050090906,0.966572992646118,0.145367731400106,4999.76798271466,0.355362573295527,0.87665471204088,256.108432654421,0.164264874836947,0.197601584130511,0.0297008866109802,284,256.5,5001
