"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"844",126.369302094418,126.368202212014,126.367168091862,126.366194072341,126.365274978166,126.364406127748,126.363583315303,126.362802777197,126.362061150688,126.361355430717,126.360682928147,844
"845",126.369302853865,126.368202845756,126.36716857856,126.366194401678,126.36527514864,126.364406144326,126.363583187327,126.362802516696,126.362060771095,126.361354945944,126.360682351944,845
"846",126.369303626386,126.368203495302,126.367169083639,126.366194751702,126.365275341782,126.364406185209,126.363583084964,126.362802282809,126.362060418844,126.361354489004,126.360681803864,846
"847",126.369304411368,126.368204160004,126.367169606427,126.366195121727,126.365275556895,126.364406249698,126.363583007512,126.362802074838,126.362060093246,126.361354059217,126.360681283236,847
"848",126.369305208214,126.368204839234,126.36717014627,126.366195511079,126.365275793296,126.364406337104,126.363582954287,126.362801892104,126.362059793627,126.361353655919,126.360680789406,848
"849",126.369306016344,126.368205532377,126.367170702528,126.366195919102,126.365276050319,126.364406446759,126.363582924618,126.362801733941,126.362059519327,126.361353278457,126.360680321733,849
"850",126.369306835193,126.368206238834,126.367171274576,126.366196345157,126.365276327313,126.364406578006,126.36358291785,126.362801599695,126.362059269701,126.361352926196,126.360679879588,850
"851",126.369307664209,126.368206958021,126.367171861808,126.366196788616,126.365276623642,126.364406730205,126.363582933341,126.362801488729,126.362059044116,126.36135259851,126.360679462357,851
"852",126.369308502857,126.36820768937,126.367172463628,126.366197248868,126.365276938684,126.364406902727,126.363582970465,126.362801400418,126.362058841955,126.361352294789,126.360679069438,852
"853",126.369309350616,126.368208432326,126.367173079458,126.366197725317,126.36527727183,126.364407094961,126.363583028606,126.362801334153,126.362058662611,126.361352014435,126.360678700243,853
"854",126.369310206978,126.36820918635,126.367173708732,126.36619821738,126.365277622488,126.364407306306,126.363583107166,126.362801289334,126.362058505492,126.361351756862,126.360678354194,854
"855",126.369311071449,126.368209950914,126.367174350898,126.366198724487,126.365277990076,126.364407536178,126.363583205557,126.362801265378,126.362058370018,126.361351521499,126.360678030726,855
"856",126.369311943551,126.368210725508,126.36717500542,126.366199246083,126.365278374029,126.364407784002,126.363583323204,126.362801261712,126.362058255623,126.361351307783,126.360677729288,856
"857",126.369312822815,126.36821150963,126.367175671773,126.366199781626,126.365278773791,126.36440804922,126.363583459546,126.362801277777,126.362058161749,126.361351115167,126.360677449338,857
"858",126.369313708788,126.368212302795,126.367176349445,126.366200330587,126.365279188822,126.364408331284,126.363583614034,126.362801313023,126.362058087855,126.361350943112,126.360677190347,858
"859",126.369314601027,126.36821310453,126.367177037938,126.366200892448,126.365279618594,126.364408629658,126.36358378613,126.362801366916,126.362058033408,126.361350791094,126.360676951796,859
"860",126.369315499104,126.368213914372,126.367177736765,126.366201466705,126.365280062589,126.36440894382,126.363583975309,126.362801438932,126.362057997887,126.361350658596,126.360676733177,860
"861",126.369316402601,126.368214731873,126.367178445453,126.366202052865,126.365280520304,126.364409273258,126.363584181057,126.362801528556,126.362057980783,126.361350545115,126.360676533994,861
"862",126.369317311112,126.368215556596,126.367179163539,126.36620265045,126.365280991246,126.364409617473,126.363584402872,126.362801635288,126.362057981597,126.361350450157,126.360676353759,862
"863",126.369318224244,126.368216388115,126.367179890573,126.366203258989,126.365281474934,126.364409975975,126.363584640261,126.362801758636,126.362057999842,126.361350373241,126.360676191997,863
"864",126.369319141612,126.368217226016,126.367180626116,126.366203878025,126.365281970897,126.364410348289,126.363584892746,126.36280189812,126.362058035039,126.361350313893,126.360676048241,864
"865",126.369320062845,126.368218069896,126.36718136974,126.366204507112,126.365282478677,126.364410733946,126.363585159855,126.36280205327,126.362058086722,126.36135027165,126.360675922035,865
"866",126.369320987582,126.368218919363,126.367182121028,126.366205145815,126.365282997826,126.364411132493,126.363585441129,126.362802223626,126.362058154434,126.361350246061,126.360675812932,866
"867",126.369321915471,126.368219774034,126.367182879575,126.366205793709,126.365283527906,126.364411543481,126.36358573612,126.362802408739,126.362058237726,126.36135023668,126.360675720494,867
"868",126.369322846172,126.36822063354,126.367183644983,126.366206450379,126.365284068489,126.364411966478,126.363586044387,126.362802608169,126.362058336162,126.361350243076,126.360675644293,868
"869",126.369323779353,126.368221497519,126.367184416869,126.366207115422,126.36528461916,126.364412401057,126.363586365502,126.362802821486,126.362058449312,126.361350264822,126.36067558391,869
"870",126.369324714694,126.368222365619,126.367185194856,126.366207788443,126.36528517951,126.364412846803,126.363586699044,126.362803048268,126.362058576757,126.361350301504,126.360675538935,870
"871",126.369325651883,126.3682232375,126.367185978578,126.366208469059,126.365285749142,126.364413303309,126.363587044603,126.362803288105,126.362058718088,126.361350352715,126.360675508965,871
"872",126.369326590618,126.36822411283,126.36718676768,126.366209156894,126.365286327668,126.36441377018,126.363587401778,126.362803540593,126.362058872903,126.361350418057,126.360675493607,872
"873",126.369327530605,126.368224991286,126.367187561815,126.366209851583,126.365286914709,126.364414247027,126.363587770177,126.362803805339,126.362059040808,126.361350497139,126.360675492476,873
"874",126.369328471559,126.368225872554,126.367188360645,126.366210552769,126.365287509896,126.364414733473,126.363588149416,126.362804081957,126.362059221421,126.361350589581,126.360675505195,874
"875",126.369329413206,126.368226756331,126.367189163842,126.366211260107,126.365288112868,126.364415229147,126.36358853912,126.362804370072,126.362059414365,126.361350695009,126.360675531395,875
"876",126.369330355278,126.368227642319,126.367189971086,126.366211973257,126.365288723273,126.364415733688,126.363588938924,126.362804669315,126.362059619271,126.361350813058,126.360675570714,876
"877",126.369331297516,126.368228530232,126.367190782066,126.366212691889,126.365289340767,126.364416246745,126.363589348469,126.362804979325,126.362059835781,126.361350943371,126.3606756228,877
"878",126.369332239668,126.368229419791,126.367191596478,126.366213415683,126.365289965016,126.364416767972,126.363589767405,126.36280529975,126.362060063542,126.361351085597,126.360675687305,878
"879",126.369333181492,126.368230310724,126.367192414029,126.366214144324,126.365290595693,126.364417297034,126.363590195391,126.362805630247,126.36206030221,126.361351239394,126.360675763892,879
"880",126.369334122753,126.368231202768,126.367193234433,126.366214877509,126.365291232478,126.364417833601,126.363590632092,126.362805970478,126.362060551448,126.361351404427,126.360675852227,880
"881",126.369335063222,126.368232095668,126.367194057409,126.366215614939,126.365291875061,126.364418377354,126.363591077183,126.362806320113,126.362060810927,126.361351580368,126.360675951987,881
