"","time","Sus1","Exp1","Inf1","Rec1","SusV","ExpV","InfV","Sus2","Exp2","Inf2","Rec2","Total1","Total2","TotalV"
"1",0,284,0,0,0,5000,0,1,135,0,0,0,284,135,5001
"2",1,283.967614031275,0.0315892098723234,0.000793956795011756,2.80205731620269e-06,5000.009940897,9.14472176208375e-06,0.990049958278473,134.984583952972,0.0150367817872652,0.000377931433092841,1.33380752452125e-06,284,135,5001
"3",2,283.935554094639,0.0613175674000905,0.00310760300011769,2.07349610019437e-05,5000.01973266121,6.68695182296539e-05,0.980200469268052,134.969323102898,0.0291877767897165,0.00147925026223945,9.87005004909566e-06,284,135,5001
"4",3,283.903816872062,0.0892828675833777,0.00683142511652698,6.88352380918177e-05,5000.02932652291,0.000219438478201053,0.970454038610788,134.954215870288,0.0424995366032201,0.00325182684395133,3.27662646601052e-05,284,135,5001
"5",4,283.872399241077,0.115573105882645,0.0118675565514802,0.000160096488452997,5000.03868041648,0.000504223094611316,0.960815360422282,134.939260768748,0.0550139481228568,0.00564907559614951,7.62075334212325e-05,284,135,5001
"6",5,283.841298002393,0.14027398021991,0.0181212423569574,0.000306775030021604,5000.0477547227,0.000954624417807936,0.951290652878946,134.924456275313,0.0667718045861274,0.0086258921174395,0.000146027983959053,284,135,5001
"7",6,283.810509825762,0.163466683541813,0.02550354693588,0.000519943760722711,5000.05651372989,0.00159847739010987,0.941887792724769,134.909800804685,0.0778117548057842,0.0121399420861135,0.000247498423106933,284,135,5001
"8",7,283.780031219128,0.185228714414125,0.0339303614040372,0.000809705053683942,5000.06492493051,0.00245920316229262,0.932615866328934,134.895292694547,0.088170689022822,0.0161511887525632,0.000385427677384748,284,135,5001
"9",8,283.749858478048,0.20563428158814,0.0433219444899462,0.00118529587414133,5000.07295867367,0.00355647382129524,0.923484852511449,134.880930181483,0.0978839314849675,0.0206216744020423,0.00056421262983646,284,135,5001
"10",9,283.719987650833,0.224754304381633,0.0536029544860601,0.0016550902988261,5000.08058815643,0.00490632658617878,0.914505516985561,134.866711384389,0.106985240627896,0.0255155355636943,0.000787839419316491,284,135,5001
"11",10,283.690414509154,0.242656563114602,0.0647022839743324,0.00222664375746294,5000.08778927739,0.00652147648034895,0.905689246132779,134.852634290478,0.115506880684415,0.0307989243378256,0.00105990449995707,284,135,5001
"12",11,283.66113452216,0.259405888913911,0.0765528428672857,0.00290674605883931,5000.09454046126,0.00841166001477552,0.897047878726441,134.838696742963,0.123479712033741,0.0364399051207702,0.00138363988218255,284,135,5001
"13",12,283.63214283411,0.275064342980379,0.0890913476560746,0.00370147525322755,5000.10082248066,0.0105839804760163,0.888593538861877,134.824896430409,0.130933276534774,0.0424083542843244,0.00176193877183849,284,135,5001
"14",13,283.603434253202,0.289691340720564,0.102258169455201,0.00461623662229742,5000.10661832711,0.0130431467038182,0.880338526184692,134.811230881413,0.137895856614321,0.0486758878431217,0.00219737412983358,284,135,5001
"15",14,283.575003241561,0.303343783237747,0.115997170600116,0.00565580460119943,5000.11191307231,0.01579172521571,0.872295202473107,134.797697459841,0.144394537858397,0.0552157836730352,0.002692218627527,284,135,5001
"16",15,283.546843907724,0.3160761865279,0.130255541034506,0.00682436471327714,5000.11669372941,0.018830386543314,0.864475884049106,134.784293361251,0.150455270511075,0.0620029036294656,0.00324846460812559,284,135,5001
"17",16,283.518950004467,0.327940793013721,0.144983651142524,0.00812555137631331,5000.1209491279,0.0221581169286294,0.856892755167496,134.771015611857,0.156102922566059,0.0690136234936255,0.00386784208288195,284,135,5001
"18",17,283.491314929184,0.338987676730968,0.16013490980807,0.00956248427659147,5000.12466979331,0.0257724160578396,0.849557790627722,134.757861068711,0.161361329836682,0.0762257654069658,0.00455183604555482,284,135,5001
"19",18,283.463931726928,0.349264841294964,0.175665628728042,0.0111378030485646,5000.12784783243,0.0296694791512161,0.842482688422128,134.744826421148,0.166253342589194,0.0836185332825703,0.00530170298031737,284,135,5001
"20",19,283.436793095873,0.358818310996162,0.191534892850654,0.0128537002798503,5000.13047682411,0.0338443640288734,0.835678811866198,134.73190819339,0.170800868905402,0.0911724511321554,0.00611848657250043,284,135,5001
"21",20,283.409891394799,0.367692215826907,0.207704436440875,0.0147119529330661,5000.13255171533,0.0382911444644689,0.829157140201558,134.719102748106,0.175024915156494,0.0988693040716581,0.00700303266573202,284,135,5001
"22",21,283.383218652359,0.37592887091507,0.224138524478357,0.0167139522471013,5000.13406872229,0.0430030506918518,0.822928227013868,134.706406290825,0.178945623814482,0.106692081865149,0.00795600349526986,284,135,5001
"23",22,283.356766577864,0.383568850890702,0.240803839058882,0.0188607321859651,5000.13502523624,0.0479725980019272,0.817002165753803,134.693814875068,0.1825823088517,0.11462492485049,0.00897789122996291,284,135,5001
"24",23,283.330526573345,0.390651059648308,0.257669370508619,0.0211529964980621,5000.135419734,0.0531917042798302,0.811388561718965,134.68132440809,0.185953488948571,0.122653072108354,0.0100690308527584,284,135,5001
"25",24,283.304489746685,0.39721279592288,0.274706312946952,0.0235911444451214,5000.13525169282,0.058651797271576,0.806096509903532,134.668930657135,0.189076918708675,0.130762811748812,0.0112296124079489,284,135,5001
"26",25,283.278646925627,0.403289815061374,0.291887964054517,0.0261752952571149,5000.13452150952,0.0643439123178819,0.801134578164304,134.656629256096,0.191969618062808,0.138941433199668,0.0124596926419733,284,135,5001
