"","time","Sus1","Exp1","Inf1","Rec1","SusV","ExpV","InfV","Sus2","Exp2","Inf2","Rec2","Total1","Total2","TotalV"
"1",0,284,0,0,0,5000,0,1,162,0,0,0,284,162,5001
"2",1,283.946025459169,0.0526459390638279,0.0013240465088017,4.55525873817859e-06,5000.00993190409,1.80138370359503e-05,0.990050082075264,161.988988288025,0.0107406600605513,0.000270122590356827,9.29324405807283e-07,284,162,5001
"3",2,283.892598227773,0.102188547336655,0.0051785877781176,3.46371124691768e-05,5000.01966242505,0.000135359907005549,0.980202215037344,161.978086911547,0.0208494813056505,0.00105654057723446,7.06657046924966e-06,284,162,5001
"4",3,283.839712575777,0.14878834592169,0.0113842591598725,0.000114819141593579,5000.02909402342,0.000443395904778064,0.970462580675495,161.967294742079,0.0303591087632232,0.00232272337398777,2.34257837699482e-05,284,162,5001
"5",4,283.787362736899,0.192593955467719,0.0197763254528803,0.000266982180783113,5000.03813991972,0.00101854795420238,0.96084153232812,161.956610641636,0.039299768561574,0.00403511756465999,5.44722378494167e-05,284,162,5001
"6",5,283.735542469969,0.233748773562298,0.0301973228032545,0.000511433665310927,5000.04671964091,0.00192759149207926,0.951352767596165,161.94603337464,0.0477006259512678,0.00616164870350224,0.000104350705269486,284,162,5001
"7",6,283.684244885581,0.272389559462607,0.0424989204767043,0.000866634479896503,5000.05476010764,0.00322673849017863,0.942013153864303,161.935561572084,0.0555894977320419,0.00867210045394041,0.000176829729917916,284,162,5001
"8",7,283.633462305735,0.30864752598484,0.0565406939201688,0.0013494743600466,5000.06219453112,0.00496360322698646,0.932841865654808,161.92519370289,0.0629930743103352,0.0115378650899623,0.000275357710003015,284,162,5001
"9",8,283.583186127753,0.342648656304266,0.0721898715219337,0.0019753444203136,5000.06896212239,0.00717788817425971,0.923859989436526,161.914928046026,0.0699369842486396,0.0147318920704426,0.000403077654813666,284,162,5001
"10",9,283.533406723759,0.374513880068532,0.089321210342785,0.00275818582945334,5000.07500789721,0.00990187486657271,0.915090227925815,161.904762669861,0.0764458301922002,0.018228662861953,0.000562837084481049,284,162,5001
"11",10,283.48411334494,0.404359443104899,0.107816624389415,0.00371058756513559,5000.08028228431,0.0131612106777421,0.90655650501183,161.894695412516,0.0825432641373334,0.0220041154171939,0.000757207929181713,284,162,5001
"12",11,283.435294046635,0.432297217480478,0.127564858585032,0.0048438772990512,5000.08474076122,0.0169756270468428,0.898283611730259,161.884723866443,0.0882520505634638,0.0260355779632955,0.000988505030159708,284,162,5001
"13",12,283.386935644379,0.45843493169994,0.148461228498972,0.00616819542233144,5000.08834355762,0.0213595011373938,0.890296941247316,161.874845369338,0.0935941132969099,0.0303017161552611,0.00125880121027484,284,162,5001
"14",13,283.339023679563,0.482876390505676,0.170407360683532,0.00769256924798611,5000.09105535795,0.026322404571878,0.882622237481632,161.86505699701,0.0985905802514999,0.0347824803570397,0.0015699423817513,284,162,5001
"15",14,283.291542393003,0.505721689409632,0.193310929240849,0.00942498834617277,5000.09284499956,0.031869647484326,0.875285352951664,161.855355557864,0.10326182708963,0.0394590521600422,0.00192356288583286,284,162,5001
"16",15,283.24447471661,0.527067392400154,0.217085417574754,0.0113724734148357,5000.09368519671,0.0380027529593812,0.868312050334422,161.845737591085,0.107627513374965,0.0443137960219164,0.002321099517933,284,162,5001
"17",16,283.197802274835,0.547006693193674,0.241649889536343,0.0135411424344478,5000.09355227538,0.0447198979114537,0.861727826705244,161.836199366817,0.111706615366736,0.0493302128150257,0.00276380500119946,284,162,5001
"18",17,283.151505395315,0.565629560804275,0.266928769798867,0.0159362740814356,5000.09242591924,0.0520163209270125,0.855557759833525,161.826736888233,0.115517455613004,0.0544928952507087,0.00325276090330984,284,162,5001
"19",18,283.105563128036,0.583022870143022,0.29285163346403,0.0185623683568811,5000.09028892657,0.0598846976834964,0.849826375746753,161.817345895345,0.119077729487911,0.0597874851793293,0.00378888998761236,284,162,5001
