"","time","Sus1","Exp1","Inf1","Rec1","SusV","ExpV","InfV","Sus2","Exp2","Inf2","Rec2","Sus3","Exp3","Inf3","Rec3","Sus4","Exp4","Inf4","Rec4","Total1","Total2","Total3","Total4","TotalV"
"1",0,284,0,0,0,5000,0,1,74,0,0,0,38,0,0,0,23,0,0,0,284,74,38,23,5001
"2",1,283.927920199187,0.0697143028419006,0.00235759264849128,7.90532264828747e-06,5000.00989427985,5.51266019876837e-05,0.990050593549431,73.9925886272504,0.0071681529370218,0.000242877886029193,3.41926584164858e-07,37.9973994760598,0.00251518258088145,4.68717688654271e-05,6.59865234970359e-08,22.9985697079306,0.00138335431399153,4.68717688654271e-05,6.59865234970359e-08,284,74,37.9999615963961,23,5001
"3",2,283.856575601363,0.134199251178278,0.00916356251472457,6.15849440201661e-05,5000.01936591948,0.000424516228466146,0.980209564296874,73.9852517112698,0.0137996991801145,0.000945922090870591,2.66745917865295e-06,37.9948249895091,0.00484216258025711,0.000182551021609245,5.14782812368965e-07,22.9971537314845,0.0026632027110985,0.000182551021609245,5.14782812368965e-07,284,74,37.9998502178938,23,5001
"4",3,283.785957760623,0.193803694997336,0.0200354740693002,0.000203070310370619,5000.02811865013,0.00138287620036368,0.970498473669002,73.9779883775741,0.0199304048581015,0.00207240878744246,8.80878030472185e-06,37.9922762267186,0.00699348640567722,0.000399953866021505,1.69998903410368e-06,22.9957519035003,0.00384644264460223,0.000399953866021505,1.69998903410368e-06,284,74,37.9996713669793,23,5001
"5",4,283.7160566804,0.248854511074948,0.0346186490108286,0.000470159514149627,5000.03588603413,0.00316288322519209,0.960951082641213,73.9707975679099,0.0255937847891301,0.00358822202965418,2.04252713447497e-05,37.9897528072909,0.00898091034202335,0.000692499353606876,3.94186988333255e-06,22.994364021299,0.00493953747753308,0.000692499353606876,3.94186988333255e-06,284,74,37.9994301588564,23,5001
"6",5,283.646859886001,0.299660080462346,0.052583202336432,0.000896831199907039,5000.04242855003,0.00595966504651265,0.951611784925369,73.9636779464073,0.0308214593595944,0.00546157350940934,3.90207236739523e-05,37.9872542512226,0.0108155258166682,0.00105405543074525,7.53067509867814e-06,22.992989828571,0.00594858532313896,0.00105405543074525,7.53067509867814e-06,284,74,37.9991313631451,23,5001
"7",6,283.578351695693,0.346512115032639,0.0736226452697364,0.00151354400473609,5000.04753148511,0.00993508249205209,0.942533432400606,73.9566278271375,0.0356433421024766,0.0076628756964835,6.59550635407698e-05,37.984779953713,0.0125078252957027,0.0014789144826821,1.27289005784665e-05,22.9916290013826,0.00687935523418037,0.0014789144826821,1.27289005784665e-05,284,74,37.9987794223919,23,5001
"8",7,283.510512666855,0.389687803307169,0.0974519326987251,0.00234759713930624,5000.05100239661,0.0152222281009594,0.933775375290307,73.9496451195703,0.0400878599658189,0.0101645616913455,0.000102458772563366,37.9823291662385,0.0140677796416253,0.00196175859907952,1.97740697995235e-05,22.9902811376368,0.00773732969431324,0.00196175859907952,1.97740697995235e-05,284,74,37.998378478549,23,5001
"9",8,283.443319157101,0.429450500839436,0.123807087611881,0.00342325444812177,5000.05267023926,0.0219273161944973,0.925402444543311,73.9427272842946,0.0441820243863025,0.0129410535893782,0.000149637729676021,37.97990098108,0.0155048631076908,0.00249765348183019,2.88796675447356e-05,22.988945748512,0.00852771833859357,0.00249765348183019,2.88796675447356e-05,284,74,37.9979323773371,23,5001
"10",9,283.376742948265,0.466051120271565,0.152443927276672,0.00476200418654755,5000.05238353635,0.030132917089572,0.917483546559544,73.935871295984,0.0479515740453945,0.0159686463812227,0.000208483589375673,37.9774943184667,0.0168281034891833,0.00308202606391643,4.02371416599431e-05,22.987622251299,0.00925548549539994,0.00308202606391643,4.02371416599431e-05,284,74,37.9974446851614,23,5001
