"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0,0,0,0,0,0,0,0,0,0,0,1
"2",0.00132404639369239,0.00132404645627059,0.0013240465088017,0.00132404655352653,0.00132404659206537,0.00132404662561902,0.00132404665509624,0.00132404668119756,0.00132404670447162,0.00132404672535429,0.00132404674419618,2
"3",0.00517857622752532,0.00517858249794835,0.0051785877781176,0.0051785922855182,0.00517859617827466,0.00517859957411477,0.00517860256249835,0.00517860521262288,0.00517860757885374,0.00517860970449668,0.00517861162447451,3
"4",0.0113842466823077,0.0113842534573009,0.0113842591598725,0.0113842640261587,0.0113842682276664,0.0113842718919806,0.0113842751159851,0.0113842779745777,0.0113842805265738,0.0113842828188052,0.0113842848890248,4
"5",0.0197763116781727,0.01977631916557,0.0197763254528803,0.0197763308078002,0.0197763354237839,0.019776339444149,0.0197763429773515,0.0197763461069905,0.0197763488985512,0.0197763514040633,0.0197763536653915,5
"6",0.0301973099755797,0.0301973169129187,0.0301973228032545,0.0301973278661744,0.0301973322640805,0.0301973361196043,0.0301973395270439,0.0301973425600808,0.0301973452771104,0.0301973477250036,0.0301973499418117,6
"7",0.0424989163105225,0.0424989185335244,0.0424989204767043,0.0424989221862933,0.0424989236999525,0.0424989250482492,0.0424989262560455,0.042498927343661,0.0424989283278044,0.0424989292223057,0.0424989300386897,7
"8",0.0565407071266389,0.0565406998824127,0.0565406939201688,0.0565406889290826,0.0565406846908992,0.0565406810479651,0.0565406778836197,0.0565406751097209,0.0565406726584547,0.0565406704768082,0.0565406685227496,8
"9",0.0721899167475999,0.0721898920404299,0.0721898715219337,0.0721898542112764,0.0721898394114317,0.0721898266135244,0.0721898154373972,0.0721898055933558,0.0721897968567859,0.0721897890508578,0.0721897820344674,9
"10",0.089321312724866,0.0893212568437807,0.089321210342785,0.0893211710438827,0.0893211373947155,0.0893211082590263,0.0893210827860311,0.0893210603260834,0.0893210403745635,0.0893210225335554,0.0893210064850641,10
