"","time","Sus1","Exp1","Inf1","Rec1","SusV","ExpV","InfV","Sus2","Exp2","Inf2","Rec2","Total1","Total2","TotalV"
"1",0,284,0,0,0,5000,0,1,202.5,0,0,0,284,202.5,5001
"2",1,283.946025459213,0.0526459389230641,0.00132404662561902,4.55523810613484e-06,5000.0099321526,1.77687410039203e-05,0.990050078659522,202.488988213204,0.0107407335920712,0.000270123880314878,9.29323753466943e-07,284,202.5,5001
"3",2,283.892598229233,0.102188535849813,0.00517859957411477,3.46353424126217e-05,5000.01966432104,0.000133511396338013,0.980202167562481,202.478086615403,0.0208497657539308,0.00105655258358287,7.06625952378195e-06,284,202.5,5001
"4",3,283.839712583992,0.148788326971271,0.0113842718919806,0.000114817144884808,5000.02910029338,0.000437356815277527,0.970462349801722,202.467294083412,0.0303597332400893,0.0023227577286757,2.34256195489613e-05,284,202.5,5001
"5",4,283.78736276882,0.192593911978343,0.019776339444149,0.000266979756878168,5000.03815449045,0.00100468428491837,0.960840825261574,202.456609485867,0.0393008475546184,0.00403519408701978,5.4472491657008e-05,284,202.5,5001
"6",5,283.735542563558,0.23374866952135,0.0301973361196043,0.000511430801136773,5000.04674754627,0.00190136173413096,0.951351091992897,202.446031595656,0.0477022602417137,0.00616179219651573,0.000104351905788499,284,202.5,5001
"7",6,283.684245112188,0.272389330887162,0.0424989250482492,0.000866631875973929,5000.05480738583,0.00318284070488561,0.942009773461366,202.435559054638,0.0555917731899929,0.00867233934861418,0.000176832823343226,284,202.5,5001
"8",7,283.633462783755,0.308647063300477,0.0565406810479651,0.00134947189658116,5000.06226814511,0.00489608281596641,0.93283577207054,202.425190345257,0.0629960588664602,0.0115382320869753,0.000275363789435379,284,202.5,5001
"9",8,283.583187038095,0.342647793586881,0.0721898266135244,0.00197534170462985,5000.06906987611,0.00708024898935902,0.923849874904584,202.414923763025,0.0699407262484738,0.0147324226168723,0.00040308810920994,284,202.5,5001
"10",9,283.533408326657,0.374512382649201,0.0893211082590263,0.00275818243445835,5000.07515835552,0.00976718168299216,0.915074462797315,202.404757396132,0.0764503564155475,0.0182293937707577,0.000562853681307077,284,202.5,5001
"11",10,283.484115997782,0.404356992971681,0.107816426460212,0.00371058278597172,5000.0804847003,0.0129821782129168,0.906533121485883,202.394689105995,0.0825485773511741,0.022005083860034,0.000757232794089282,284,202.5,5001
"12",11,283.435298222686,0.432293398845097,0.127564508569052,0.00484386989952361,5000.08500500842,0.0167446990802638,0.898250292494121,202.384716512006,0.0882581270928921,0.0260368202806599,0.000988540620124501,284,202.5,5001
"13",12,283.386941951752,0.458429217488575,0.148460647233323,0.00616818352643419,5000.08868006571,0.0210689233847196,0.890251010904885,202.374836982488,0.0936009007720684,0.0303032664271621,0.0012588503127685,284,202.5,5001
"14",13,283.33903288061,0.482868128868081,0.170406440422766,0.00769255009919846,5000.09147505302,0.0259642892379401,0.882560657739518,202.365047627633,0.0985979953459375,0.0347843689375245,0.00157000808362569,284,202.5,5001
"15",14,283.291555423957,0.505710090538342,0.193309527538126,0.00942495796607704,5000.09335924888,0.0314360298928826,0.875204721227692,202.355345294026,0.103269753309056,0.0394613041462824,0.00192364851841219,284,202.5,5001
"16",15,283.244492707136,0.527051516204466,0.217083350414141,0.0113724262452234,5000.09430575726,0.0374856419342668,0.868208600798269,202.345726562799,0.107635799008033,0.0443164295968129,0.00232120859591141,284,202.5,5001
"17",16,283.197826567459,0.546985437662519,0.241646923974081,0.0135410709039247,5000.09429124642,0.044111319878092,0.861597433696599,202.336187749777,0.111715071564054,0.0493332375149632,0.00276394114360494,284,202.5,5001
"18",17,283.151537564596,0.565601651181917,0.266924616122629,0.0159361680998309,5000.09329569844,0.0513083582554629,0.855395943298611,202.326724907484,0.115525854619571,0.0544963101595036,0.00325292773747072,284,202.5,5001
"19",18,283.10560499937,0.582986848984748,0.292845936911035,0.0185622147346355,5000.09130216989,0.0590695217159188,0.849628308390464,202.317333828866,0.119085803042576,0.0597912770558453,0.00378909103581259,284,202.5,5001
"20",19,283.060006939596,0.599224738107465,0.319345335937427,0.0214229863587113,5000.08829656289,0.0673853858005573,0.84431805131083,202.308010052469,0.122411967054654,0.065204773901408,0.00437320657525753,284,202.5,5001
"21",20,283.014720252028,0.614396148044627,0.346362007406144,0.0245215925206441,5000.08426740629,0.076244650224825,0.839487943486914,202.298748868859,0.125520814068464,0.0707244030250714,0.0050059140479812,284,202.5,5001
"22",21,282.96972063948,0.628579128622408,0.373839702236349,0.027860529661499,5000.07920564657,0.0856344265745249,0.835159926854949,202.289545328113,0.128428248530261,0.0763386952763088,0.0056877280804194,284,202.5,5001
"23",22,282.924982682209,0.641849039522547,0.401726546580785,0.0314417316874038,5000.07310444789,0.0955405025752046,0.831355049532559,202.280394248188,0.131149630057736,0.0820370732137696,0.00641904854057127,284,202.5,5001
"24",23,282.880479883124,0.654278631946131,0.429974866811177,0.0352666181184038,5000.06595900172,0.105947582689025,0.82809341558524,202.271290224069,0.13369978997342,0.0878098156041919,0.00720017035314965,284,202.5,5001
"25",24,282.836184715513,0.665938124576296,0.458541019704426,0.0393361402066684,5000.05776634452,0.116839509719921,0.825394145759154,202.262227637448,0.136093046674899,0.0936480229745658,0.00803129290236441,284,202.5,5001
"26",25,282.792068673056,0.676895274022316,0.48738522801164,0.0436508249103966,5000.04852518384,0.128199466871294,0.823275349286417,202.253200666867,0.13834321987957,0.0995435842541055,0.00891252899923667,284,202.5,5001
"27",26,282.74810232162,0.687215440384702,0.516471421229817,0.0482108167648969,5000.03823573282,0.140010161253926,0.821754105928664,202.244203298234,0.140463643875067,0.105489144469307,0.00984391342182708,284,202.5,5001
"28",27,282.704255352116,0.696961649023008,0.545767081079293,0.0530159177812054,5000.02689955238,0.152253990772011,0.820846456845779,202.235229335557,0.14246717999678,0.111478073391032,0.0108254110548227,284,202.5,5001
"29",28,282.660496633959,0.706194649129037,0.575243091457397,0.0580656254538832,5000.014519401,0.164913195652888,0.82056740334639,202.226272411812,0.144366228456087,0.117504435087071,0.0118569246450226,284,202.5,5001
"30",29,282.616794268771,0.714972969570094,0.604873592744546,0.0633591689146615,5000.00109909171,0.177969995428998,0.820930912856128,202.21732599985,0.146172739614727,0.123562958355032,0.0129383021801369,284,202.5,5001
"31",30,282.573115643908,0.723352972512119,0.63463584028259,0.0688955432967367,4999.98664335627,0.191406712426245,0.821949931305177,202.208383423287,0.14789822480995,0.129649007999077,0.0140693439040236,284,202.5,5001
"32",31,282.529427485501,0.731388905246562,0.664510066883135,0.0746735423690034,4999.97115771607,0.205205882707133,0.82363640122067,202.19943786728,0.149553766817526,0.135758556921733,0.0152498089803748,284,202.5,5001
"33",32,282.48569591067,0.739132950586697,0.694479349245831,0.0806917894970629,4999.95464835978,0.219350355351639,0.826001284865279,202.190482389149,0.15115003002776,0.141888159006612,0.0164794218163611,284,202.5,5001
"34",33,282.441886478679,0.746635276150862,0.724529478183557,0.0869487669861023,4999.93712202728,0.23382338090444,0.829054591810776,202.181509928772,0.152697270399783,0.148034922771323,0.0177578780573977,284,202.5,5001
"35",34,282.397964240772,0.75394408279992,0.754648832568858,0.0934428438591193,4999.91858589985,0.248608689762123,0.832805410384019,202.172513318714,0.154205345249124,0.154196485773448,0.0190848502638663,284,202.5,5001
"36",35,282.353893788492,0.761105652456667,0.78482825692816,0.100172302122732,4999.89904749631,0.263690561227535,0.837261942464395,202.163485294049,0.155683722915417,0.160370989754955,0.0204599932803791,284,202.5,5001
"37",36,282.30963930031,0.76816439549708,0.815060942621594,0.107135361571595,4999.87851457493,0.279053883913196,0.84243154115222,202.15441850183,0.157141492349337,0.166557056512747,0.0218829493079284,284,202.5,5001
"38",37,282.265164586393,0.775162897869892,0.845342312555524,0.11433020318138,4999.856995041,0.294684208133808,0.848320750865302,202.145305510175,0.158587372651011,0.172753764484927,0.0233533526890502,284,202.5,5001
"39",38,282.220433131407,0.782141968071132,0.875669909382353,0.121754991139261,4999.83449685965,0.310567790888803,0.854935349456044,202.136138816954,0.160029722585978,0.178960626043926,0.0248708344159333,284,202.5,5001
"40",39,282.175408135218,0.789140684073623,0.906043287148289,0.129407893559995,4999.81102797402,0.32669163399927,0.862280391974556,202.126910858041,0.161476550099316,0.185177565488871,0.0264350263712255,284,202.5,5001
"41",40,282.130052551423,0.796196440287832,0.936463906354538,0.137287101934769,4999.78659622833,0.343043515929359,0.870360255734178,202.117614015115,0.162935521843697,0.191404897730562,0.0280455653111199,284,202.5,5001
"42",41,282.08432912363,0.803344994609529,0.966935032400964,0.145390849359265,4999.76120929584,0.359612017790151,0.879178686364768,202.108240623004,0.164413972732779,0.197643307663159,0.0297020966001476,284,202.5,5001
"43",42,282.038200419438,0.810620515591363,0.997461637383874,0.15371742758658,4999.73487461144,0.376386543993899,0.888738844566298,202.098782976548,0.165918915527627,0.203893830217207,0.0314042777069534,284,202.5,5001
"44",43,281.991628862069,0.818055629759284,1.02805030522132,0.162265202949942,4999.7075993087,0.393357337998236,0.899043353300696,202.08923333698,0.167457050460453,0.21015783108899,0.0331517814701859,284,202.5,5001
"45",44,281.944576759639,0.825681469080741,1.05870914008023,0.171032631199453,4999.67939016126,0.410515493553402,0.910094345183704,202.079583937818,0.169034774897127,0.216436988141388,0.0349442991434969,284,202.5,5001
"46",45,281.897006332044,0.833527718579369,1.08944767807997,0.180018271296382,4999.65025352829,0.427852961840505,0.921893509860788,202.069826990263,0.170658193037363,0.222733273471463,0.0367815432285033,284,202.5,5001
"47",46,281.848879735465,0.841622664080491,1.1202768022467,0.189220798207866,4999.62019530396,0.445362554865293,0.934442141172031,202.059954688106,0.17233312564936,0.229048936139938,0.0386632501044334,284,202.5,5001
"48",47,281.800159084501,0.849993240062809,1.15120866069208,0.198639014744168,4999.58922087062,0.463037945449695,0.94774118393041,202.049959212146,0.174065119833818,0.235386485557597,0.0405891824630405,284,202.5,5001
"49",48,281.750806471947,0.858665077584243,1.18225658798877,0.208271862479974,4999.5573350557,0.480873664142456,0.961791280156156,202.039832734109,0.175859458810726,0.241748675523342,0.0425591315572328,284,202.5,5001
"50",49,281.700783986242,0.86766255224364,1.21343502971367,0.218118431800505,4999.52454209202,0.49886509335039,0.9765928146269,202.029567420099,0.177721171721042,0.248138488908396,0.0445729192717304,284,202.5,5000.99999999999
"51",50,281.650053726622,0.877008832134262,1.24475947013163,0.228177971112096,4999.4908455814,0.5170084589743,0.9921459596164,202.019155433561,0.17965504343418,0.254559122981439,0.0466304000238328,284,202.5,5000.99999999999
"52",51,281.598577816003,0.886725925744579,1.27624636300129,0.238449895250761,4999.45624846149,0.535300819787277,1.00845071871666,202.008588937775,0.181665624352186,0.261013975371314,0.0487314625011385,284,202.5,5000.99999999999
"53",52,281.546318411727,0.896834729751968,1.30791306536186,0.248933793158988,4999.42075297542,0.553740054915443,1.02550696966133,201.997860097912,0.183757240199146,0.267506630638858,0.0508760312505275,284,202.5,5000.99999999999
"54",53,281.493237714069,0.907355076660151,1.33977777445708,0.259629434813856,4999.38436064449,0.572324849471991,1.04331450603248,201.986961082609,0.185934001786175,0.274040847490079,0.053064068115002,284,202.5,5000.99999999999
"55",54,281.439297972664,0.918305782223418,1.37185946763313,0.270536777478905,4999.34707224351,0.591054678679339,1.0618730778026,201.975884065129,0.18819981473997,0.280620546597732,0.0552955735331459,284,202.5,5000.99999999999
"56",55,281.384461490919,0.929704692605444,1.40417784515604,0.281655971318909,4999.30888777865,0.609929790690748,1.08118243065528,201.964621224086,0.190558389184163,0.287249799020502,0.0575705877092,284,202.5,5000.99999999999
"57",56,281.328690628407,0.941568731506385,1.43675327566677,0.292987364419787,4999.26980646763,0.628951188119245,1.1012423442434,201.953164743752,0.193013249421758,0.293932815163279,0.0598891916625703,284,202.5,5001
"58",57,281.27194780145,0.953913946518085,1.46960674480727,0.304531507224288,4999.22982672229,0.648120608831384,1.12205266887048,201.94150681399,0.195567743465923,0.300673934386052,0.0622515081585199,284,202.5,5000.99999999999
"59",58,281.214195481684,0.966755553848232,1.50275980820586,0.3162891562618,4999.18894613388,0.667440506330524,1.14361335979038,201.929639629758,0.198225052243677,0.307477615503066,0.0646577024949044,284,202.5,5001
"60",59,281.155396193109,0.98010798547959,1.5362345436945,0.32826127771716,4999.14716145899,0.686914028439631,1.16592451256464,201.917555390301,0.200988199307063,0.314348427133857,0.0671079832582808,284,202.5,5001
"61",60,281.095512507237,0.993984933817877,1.570053508667,0.340449050278124,4999.10446860844,0.706544996174184,1.18898639537782,201.905246297928,0.203860060035962,0.321291039103125,0.0696026029325231,284,202.5,5000.99999999999
"62",61,281.034507036887,1.00839939471199,1.60423970088974,0.35285386751138,4999.06086263789,0.726337882806139,1.21279947929714,201.89270455653,0.206843370512895,0.328310214546127,0.072141858411254,284,202.5,5001
"63",62,280.972342427712,1.02336371475913,1.63881651742851,0.365477340100413,4999.01633773909,0.746297790313827,1.23736447058952,201.879922369578,0.209940737290134,0.335410801645441,0.0747260914860487,284,202.5,5000.99999999999
"64",63,280.908981348993,1.03888963199801,1.67380772166696,0.37832129734204,4998.97088723405,0.76643042853518,1.26268233741193,201.866891938009,0.213154645800884,0.342597727009502,0.0773556891804477,284,202.5,5001
"65",64,280.844386482954,1.05498831742863,1.70923741121565,0.391387788401885,4998.92450357013,0.786742093565428,1.28875433629936,201.853605457773,0.216487468949512,0.349875989240686,0.0800310840364998,284,202.5,5001
"66",65,280.778520512473,1.07167041792893,1.74512998621166,0.404679083386425,4998.87717831592,0.807239645254979,1.3155820388218,201.840055117042,0.219941475998559,0.357250652593192,0.082752754366224,284,202.5,5000.99999999999
"67",66,280.711346107629,1.08894609695796,1.78151012141952,0.418197673993815,4998.82890215871,0.82793048544142,1.34316735584208,201.826233093166,0.2235188410078,0.364726841408705,0.0855212244171387,284,202.5,5001
"68",67,280.642825911093,1.10682507449116,1.8184027405081,0.431946273907307,4998.77966490306,0.848822536416283,1.371512560519,201.812131549388,0.227221651123879,0.372309735001683,0.0883370644862828,284,202.5,5000.99999999999
"69",68,280.572922522407,1.12531666615502,1.85583299249207,0.445927818945328,4998.72945547026,0.869924219678944,1.40062031005932,201.797742631308,0.23105191471391,0.380004562992334,0.0912008909856653,284,202.5,5000.99999999999
"70",69,280.501598481207,1.14442982147755,1.89382623033089,0.460145466984353,4998.67826189873,0.891244435049189,1.43049366621094,201.783058463126,0.235011569325989,0.38781660108604,0.0941133664624311,284,202.5,5000.99999999999
"71",70,280.428816249481,1.16417316121866,1.93240799161965,0.47460259768089,4998.62607134525,0.912792540216908,1.46113611452275,201.768071143665,0.23910248946942,0.395751167286064,0.0970751995791658,284,202.5,5000.99999999999
"72",71,280.354538192921,1.18455501375815,1.97160398130602,0.489302812014107,4998.57287008681,0.934578330777885,1.4925515824076,201.752772742204,0.243326494210305,0.403813618526477,0.100087145058789,284,202.5,5000.99999999999
"73",72,280.278726561442,1.20558345052101,2.01144005636562,0.50424993167086,4998.51864352314,0.956612020804479,1.5247444560455,201.737155294111,0.247685354578513,0.41200934771179,0.103150003598532,284,202.5,5000.99999999999
"74",73,280.201343468916,1.22726632042231,2.05194221236798,0.519447998293833,4998.46337617983,0.978904223994019,1.55771959616614,201.72121079631,0.252180800782662,0.420343781149777,0.10626462175728,284,202.5,5000.99999999999
"75",74,280.122350872205,1.24961128331709,2.09313657186504,0.534901272612619,4998.40705171181,1.00146593543243,1.59148235275167,201.704931202585,0.256814529230322,0.428822376363951,0.109431891820402,284,202.5,5001
"76",75,280.041710549546,1.27262584244311,2.13504937453436,0.550614233476726,4998.34965290729,1.02430851400591,1.62603857870202,201.688308418731,0.261588209351241,0.437450620272167,0.11265275164599,284,202.5,5000.99999999999
"77",76,279.959384078335,1.296317375847,2.17770696900912,0.566591576808574,4998.291161692,1.04744366548889,1.66139464250585,201.671334297564,0.266503490221927,0.446234027717861,0.115928184496276,284,202.5,5000.99999999999
"78",77,279.875332812391,1.32069316678712,2.22113580632742,0.58283821449376,4998.2315591337,1.07088342633233,1.69755743996148,201.654000633811,0.271562006990477,0.455178140340513,0.119259218857812,284,202.5,5000.99999999999
"79",78,279.789517858733,1.34576043310849,2.26536243493375,0.599359273224956,4998.17082544683,1.09464014817235,1.73453440499246,201.636299158873,0.27676538710105,0.464288525772001,0.122646928253839,284,202.5,5001
"80",79,279.701900053931,1.37152635558806,2.31041349716596,0.616160093315049,4998.10893999732,1.11872648307552,1.77233351960311,201.618221535484,0.282115256317897,0.47357077714562,0.126092431052086,284,202.5,5000.99999999999
"81",80,279.612439940094,1.39799810525023,2.35631572716171,0.633246227494254,4998.04588130744,1.14315536953353,1.81096332301968,201.599759352275,0.287613244549319,0.483030512904709,0.129596890271114,284,202.5,5001
"82",81,279.52109774052,1.42518286965529,2.40309595011914,0.650623439705165,4997.98162706072,1.16794001921679,1.85043292006244,201.580904118242,0.293260991472417,0.492673376897953,0.13316151338811,284,202.5,5000.99999999999
"83",82,279.427833335079,1.45308787816506,2.45078108284723,0.668297703908933,4997.91615410671,1.19309390449344,1.89075198879476,201.561647257141,0.299060151959882,0.502505038748641,0.136787552150923,284,202.5,5000.99999999999
"84",83,279.33260623535,1.48172042619221,2.49939813554233,0.68627520291494,4997.84943846578,1.2186307467174,1.93193078749403,201.541980101807,0.305012401310546,0.512531194485334,0.140476302396957,284,202.5,5000.99999999999
"85",84,279.235375559584,1.51108789844138,2.54897421472832,0.704562327245668,4997.78145533372,1.24456450528636,1.97398016098994,201.521893888411,0.31111944028575,0.522757567421638,0.14422910388139,284,202.5,5000.99999999999
"86",85,279.136100007501,1.54119779115212,2.59953652729876,0.723165674047642,4997.71217908611,1.27090936746831,2.01691154641438,201.501379750656,0.317382999953982,0.533189909272996,0.148047340117053,284,202.5,5000.99999999999
"87",86,279.034737834985,1.57205773335498,2.65111238560092,0.74209204605868,4997.64158328259,1.29767973899297,2.06073697840701,201.480428713927,0.323804846346572,0.543834001498671,0.15193243822814,284,202.5,5000.99999999999
"88",87,278.931246828703,1.60367550715393,2.70372921350229,0.76134845064095,4997.56964067077,1.32489023540211,2.10546909382007,201.459031689395,0.330386784927546,0.554695656857363,0.155885868819804,284,202.5,5000.99999999999
"89",88,278.82558428068,1.63605906704923,2.75741455338191,0.780942098888663,4997.49632318988,1.35255567415127,2.15112113596457,201.437179468088,0.337130664881022,0.565780721165159,0.159909145865546,284,202.5,5000.99999999999
"90",89,278.717706962875,1.6692165583165,2.81219607398982,0.800880404818588,4997.4216019741,1.38069106745321,2.19770695844004,201.414862714921,0.344038383219836,0.577095075244826,0.164003826614182,284,202.5,5000.99999999999
"91",90,278.607571101771,1.70315633445843,2.86810157911955,0.821170984650914,4997.34544735555,1.4093116158522,2.2452410285882,201.392071962707,0.35111188871929,0.588644637055738,0.168171511518031,284,202.5,5000.99999999999
"92",91,278.495132353026,1.73788697374702,2.92515901703981,0.841821656187396,4997.26782886687,1.43843270251651,2.29373843061064,201.368797606142,0.358353185680166,0.60043536399405,0.172413844183883,284,202.5,5000.99999999999
"93",92,278.380345776199,1.77341729487488,2.98339649063299,0.862840438293092,4997.18871524337,1.46806988823522,2.34321486838911,201.345029895774,0.365764337525338,0.612473255353031,0.17673251134813,284,202.5,5000.99999999999
"94",93,278.263165809588,1.80975637173481,3.04284226818973,0.884235550487456,4997.10807442484,1.49823890710452,2.39368666804605,201.320758931954,0.373347470234504,0.624764354933799,0.1811292428774,284,202.5,5000.99999999999
"95",94,278.143546245192,1.84691354734786,3.10352479481002,0.906015412649961,4997.02587355682,1.52895566288722,2.44517078028193,201.295974658785,0.381104775621693,0.637314753797019,0.185605811795858,284,202.5,5000.99999999999
