"","time","Sus1","Exp1","Inf1","Rec1","SusV","ExpV","InfV","Sus2","Exp2","Inf2","Rec2","Sus3","Exp3","Inf3","Rec3","Sus4","Exp4","Inf4","Rec4","Total1","Total2","Total3","Total4","TotalV"
"1",0,284,0,0,0,5000,0,1,74,0,0,0,38,0,0,0,23,0,0,0,284,74,38,23,5001
"2",1,283.991990227128,0.00774688875666745,0.00026200932794267,8.74787029075472e-07,5000.00974745128,0.000200092365446548,0.990052456354944,73.9382352331856,0.0597373404589999,0.00202458834005619,2.83801539709665e-06,37.9725473409233,0.0265515433233223,0.000449944337283144,6.30709451119402e-07,22.9862728630031,0.013276561950129,0.000449944337283144,6.30709451119402e-07,284,74,37.9995494592934,23,5001
"3",2,283.984060282696,0.0149145739560439,0.00101829494125421,6.84840708352048e-06,5000.01821237536,0.00154956056142546,0.980238064077109,73.8771349728266,0.114960904979985,0.00788187712846083,2.22450650037946e-05,37.945386347884,0.0511003908655178,0.00175180827241308,4.94394355615224e-06,22.9726901955014,0.0255530522826192,0.00175180827241308,4.94394355615224e-06,284,74,37.9982434909655,23,5001
"4",3,283.976208869239,0.0215419202560326,0.00222663443996309,2.25760650283748e-05,5000.024309745,0.00505222647774852,0.9706380285263,73.8166873927951,0.165974900734167,0.0172642824488993,7.34240218750963e-05,37.9185112368532,0.0737819822373064,0.00383742906007083,1.63193829555093e-05,22.959249468562,0.0368967829949875,0.00383742906007083,1.63193829555093e-05,284,74,37.9961469675335,23,5001
"5",4,283.96843389632,0.0276660885081791,0.00384775428389852,5.22608883394104e-05,5000.02705395038,0.0115667233816726,0.96137932624113,73.756874421832,0.213070038617818,0.0298853549651885,0.000170184585075101,37.8919134731346,0.0947256877670868,0.00664332112605186,3.78278554808903e-05,22.9459467607905,0.0473720902279632,0.00664332112605186,3.78278554808903e-05,284,74,37.9933203098832,23,5001
"6",5,283.960732123592,0.0333229607928686,0.00584523207402295,9.96835413620799e-05,5000.02555244339,0.0218200950608761,0.952627461552279,73.6976690456053,0.256526797848313,0.0454791243079291,0.000325032238478217,37.8655805665456,0.114056272479354,0.0101105318888984,7.22510218647699e-05,22.9327761564465,0.0570410606426999,0.0101105318888984,7.22510218647699e-05,284,74,37.9898196219357,23,5001
"7",6,283.95309888803,0.0385475383839024,0.00818532969106322,0.000168243894676412,5000.01899669139,0.0364244263016743,0.944578882313328,73.6390332675245,0.296618485051828,0.0637989524406977,0.00054929498297715,37.8394951572298,0.131895270784892,0.0141843890938568,0.000122109444871784,22.9197292895579,0.0659642119033334,0.0141843890938568,0.000122109444871784,284,74,37.9856969265535,23,5001
"8",7,283.945527872897,0.0433741741356975,0.0108369694620328,0.00026098350548233,5000.00665732664,0.0558865356683765,0.937456137695538,73.5809163908943,0.333612997334715,0.0846174204514129,0.000853191319574112,37.8136342439466,0.148361782350684,0.0188144771106831,0.000189677642079257,22.9067949588604,0.0742008863868863,0.0188144771106831,0.000189677642079257,284,74,37.9810001810501,23,5001
"9",8,283.93801091325,0.0478368114506234,0.0137716580492936,0.000380617250676973,4999.98787726976,0.0806203055962048,0.931502424649093,73.5232535902545,0.367774640140978,0.107725842952508,0.00124592665204471,37.7879685390578,0.163573294295623,0.0239545310121994,0.000277005444283707,22.8939588067476,0.0818096567958781,0.0239545310121994,0.000277005444283707,284,74,37.9757733698099,23,5001
"10",9,283.930537840354,0.0519691592931319,0.0169634374897044,0.000529562863812871,4999.96206529312,0.110957815363371,0.926976891514058,73.4659647861994,0.399365447813416,0.132933982444837,0.00173578354232617,37.7624619570684,0.1776462823753,0.0295623751668812,0.000385937999055439,22.8812030653186,0.0888486215155123,0.0295623751668812,0.000385937999055439,284,74,37.9700565526097,23,5001
